cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009-12,100.0,35.07853403141361,33.29842931937173,42.303664921465966,37.80104712041884,35.916230366492144,37.59162303664921,34.24083769633508,33.50785340314136,36.02094240837697,42.19895287958116,49.42408376963351,37.59162303664921,28.06282722513089,24.397905759162303,30.052356020942405,25.968586387434556,30.261780104712045,28.167539267015705,25.759162303664922,25.54973821989529,31.518324607329845,30.471204188481675,40.73298429319372,19.68586387434555
2010-01,100.0,20.209973753280842,30.708661417322837,30.708661417322837,26.246719160104988,30.183727034120732,25.72178477690289,23.097112860892388,28.083989501312335,31.758530183727036,29.92125984251969,16.535433070866144,22.30971128608924,17.84776902887139,18.635170603674542,15.223097112860891,23.097112860892388,19.94750656167979,18.635170603674542,19.68503937007874,23.88451443569554,19.42257217847769,24.671916010498688,5.511811023622047,0.0
2010-02,100.0,23.59249329758713,22.5201072386059,29.2225201072386,24.664879356568363,19.839142091152816,19.302949061662197,28.686327077747993,25.46916890080429,27.61394101876676,11.528150134048257,12.600536193029491,15.013404825737265,17.426273458445042,12.332439678284182,20.10723860589812,16.0857908847185,16.353887399463808,14.47721179624665,23.056300268096514,23.056300268096514,16.353887399463808,5.898123324396782,0.0,0.0
2010-03,100.0,18.820861678004537,23.12925170068027,24.03628117913832,23.12925170068027,20.181405895691608,24.263038548752835,30.612244897959183,27.66439909297052,10.884353741496598,11.337868480725625,14.285714285714285,19.954648526077097,16.3265306122449,19.727891156462583,17.006802721088434,17.46031746031746,15.419501133786847,17.687074829931973,20.181405895691608,20.861678004535147,7.936507936507936,0.0,0.0,0.0
2010-04,100.0,19.453924914675767,19.453924914675767,16.38225255972696,18.43003412969283,22.525597269624573,27.64505119453925,26.27986348122867,10.921501706484642,10.921501706484642,7.508532423208192,13.993174061433447,13.993174061433447,15.699658703071673,15.699658703071673,15.699658703071673,14.334470989761092,15.017064846416384,17.747440273037544,22.866894197952217,5.802047781569966,0.0,0.0,0.0,0.0
2010-05,100.0,15.476190476190476,17.063492063492063,17.46031746031746,17.857142857142858,25.793650793650798,21.428571428571427,12.698412698412698,5.952380952380952,8.333333333333332,11.507936507936508,13.492063492063492,15.476190476190476,15.476190476190476,9.920634920634921,12.698412698412698,13.88888888888889,16.26984126984127,15.476190476190476,4.761904761904762,0.0,0.0,0.0,0.0,0.0
2010-06,100.0,17.343173431734318,18.81918819188192,20.29520295202952,22.878228782287824,28.413284132841326,12.546125461254611,9.22509225092251,8.118081180811808,12.177121771217712,10.70110701107011,14.022140221402212,14.760147601476014,12.177121771217712,11.07011070110701,12.177121771217712,13.284132841328415,19.92619926199262,5.166051660516605,0.0,0.0,0.0,0.0,0.0,0.0
2010-07,100.0,15.508021390374333,18.181818181818183,29.411764705882355,28.87700534759358,13.903743315508022,11.229946524064172,14.973262032085561,14.973262032085561,11.229946524064172,13.368983957219251,14.43850267379679,13.368983957219251,12.834224598930483,18.71657754010695,17.11229946524064,22.994652406417114,8.02139037433155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08,100.0,20.496894409937887,29.81366459627329,32.298136645962735,17.391304347826086,11.801242236024844,9.937888198757763,12.422360248447205,13.664596273291925,12.422360248447205,13.043478260869565,12.422360248447205,15.527950310559005,18.633540372670808,18.012422360248447,19.875776397515526,6.832298136645963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09,100.0,23.10924369747899,23.52941176470588,12.605042016806722,9.243697478991598,10.504201680672269,13.445378151260504,10.084033613445378,13.025210084033615,13.445378151260504,11.76470588235294,10.084033613445378,21.84873949579832,16.386554621848738,16.386554621848738,5.042016806722689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
