invoice_month,revenue
2009-12,0.67876971
2010-01,0.541317692
2010-02,0.495680766
2010-03,0.673750581
2010-04,0.586509042
2010-05,0.58216446
2010-06,0.61862109
2010-07,0.5790976999999999
2010-08,0.5824075799999999
2010-09,0.8003830209999999
2010-10,1.00663412
2010-11,1.1570392919999999
2010-12,0.56396646
2011-01,0.46421078000000005
2011-02,0.44429091000000004
2011-03,0.58828096
2011-04,0.455879421
2011-05,0.66842571
2011-06,0.6522638900000001
2011-07,0.593211751
2011-08,0.63618124
2011-09,0.9420672120000001
2011-10,1.0030936400000001
2011-11,1.1477738100000001
2011-12,0.34885347000000005
